make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,total_revenue,profit_margin,profit_margin_tier,sale_month_year,sale_quarter
Honda,Odyssey,EX-L,minivan,automatic,5fnrl18973b033929,nc,28,123759,gold,tan,hendrick honda,3075,3500,Wed May 27 2015 07:00:00,3500,0.12142857142857143,Medium,May 2015,2
Honda,Pilot,EX,suv,automatic,2hkyf18623h575367,nc,37,225529,white,gray,crossroads nissan of hickory inc,2400,4600,Mon Jun 01 2015 02:00:00,4600,0.4782608695652174,High,June 2015,2
Ford,Windstar,SEL,minivan,automatic,2fmza53483bb46760,fl,29,109376,white,tan,coral springs honda,1200,1100,Fri May 29 2015 02:30:00,1100,-0.09090909090909091,Low,May 2015,2
Jeep,Grand Cherokee,Limited,suv,Unknown,1j4gw58n93c540017,nc,28,211018,silver,gray,boyd chevrolet buick gmc,475,1200,Mon Jun 01 2015 01:31:00,1200,0.6041666666666666,High,June 2015,2
Jaguar,S-Type,R,sedan,automatic,sajea03v931m66584,mn,44,88294,red,tan,perfect 10 auto sales,4300,5500,Wed May 27 2015 03:30:00,5500,0.21818181818181817,High,May 2015,2
Jeep,Grand Cherokee,Laredo,suv,Unknown,1j4gx48s63c574171,fl,25,159201,black,tan,enterprise vehicle exchange / rental / tulsa,2025,1600,Fri May 29 2015 02:25:00,1600,-0.265625,Low,May 2015,2
Honda,Odyssey,EX,minivan,automatic,5fnrl18663b008980,ca,26,134171,brown,brown,hoehn honda,2475,3200,Wed May 27 2015 05:30:00,3200,0.2265625,High,May 2015,2
Infiniti,G35,Base,sedan,manual,jnkcv51e93m319446,tx,27,137786,black,black,subaru of clear lake,3625,3000,Thu May 28 2015 03:30:00,3000,-0.20833333333333334,Low,May 2015,2
GMC,Yukon,Denali,suv,automatic,1gkek63u03j245465,ga,19,113694,white,beige,genao auto sales inc,6925,6000,Thu May 28 2015 03:00:00,6000,-0.15416666666666667,Low,May 2015,2
Jeep,Liberty,Sport,suv,Unknown,1j4gl48k93w573316,ab,2,201781,red,—,azf auto inc,1700,400,Thu May 28 2015 04:30:00,400,-3.25,Low,May 2015,2
Hyundai,Santa Fe,LX,suv,automatic,km8sc13d13u412182,ca,39,131643,gold,tan,elite auto sales/leasing,1600,3600,Wed May 27 2015 05:30:00,3600,0.5555555555555556,High,May 2015,2
Isuzu,Rodeo,S,suv,automatic,4s2ck58w034303505,fl,27,149028,gray,gray,coggin nissan,1125,2000,Thu May 28 2015 06:00:00,2000,0.4375,High,May 2015,2
Hyundai,Santa Fe,GLS,suv,automatic,km8sc13e23u549432,fl,25,214566,red,gray,courtesy hyundai,875,1000,Thu May 28 2015 09:20:00,1000,0.125,Medium,May 2015,2
Jeep,Wrangler,Rubicon,suv,Unknown,1j4fa69s83p367202,pa,32,88370,gray,black,black tie classics llc,12100,11500,Tue Jun 02 2015 02:30:00,11500,-0.05217391304347826,Low,June 2015,2
Infiniti,G35,Base,sedan,automatic,jnkcv51e63m018262,fl,19,151362,silver,black,margate volvo,3450,3800,Fri May 29 2015 02:35:00,3800,0.09210526315789473,Low,May 2015,2
Nissan,Frontier,SE-V6,crew cab,automatic,1n6ed29xx3c463169,ca,36,150043,white,tan,j m auto imports corp,5025,5600,Wed May 27 2015 05:30:00,5600,0.10267857142857142,Medium,May 2015,2
Mercedes-Benz,C-Class,C230,sedan,automatic,wdbrf40j03a534828,nc,28,112975,silver,gray,hendrick bmw,3450,4800,Wed May 27 2015 07:00:00,4800,0.28125,High,May 2015,2
Mercedes-Benz,M-Class,ML320,suv,automatic,4jgab54e33a375599,fl,19,154909,silver,gray,mercedes-benz finc wholesale advantage,2875,2600,Thu Jun 11 2015 02:30:00,2600,-0.10576923076923077,Low,June 2015,2
Mercury,Mountaineer,Premier,suv,automatic,4m2zu86wx3uj03097,ga,24,126610,red,—,us auto sales inc,1950,2500,Thu May 28 2015 03:00:00,2500,0.22,High,May 2015,2
Lincoln,Navigator,Luxury,suv,automatic,5lmfu27rx3lj42057,fl,39,47023,beige,tan,courtesy toyota of brandon,5600,6600,Thu May 28 2015 09:20:00,6600,0.15151515151515152,Medium,May 2015,2
Mazda,Tribute,LX-V6,suv,Unknown,4f2yz94173km31699,nj,35,127422,white,beige,lester glenn ford,2075,1900,Wed May 27 2015 02:30:00,1900,-0.09210526315789473,Low,May 2015,2
Unknown,Unknown,Unknown,Unknown,automatic,wdcyr49e23x137140,ca,23,153792,black,black,auto outlet,23100,22750,Wed May 27 2015 05:30:00,22750,-0.015384615384615385,Low,May 2015,2
Kia,Sedona,EX,minivan,automatic,kndup131736484645,nc,27,191159,white,gray,credit acceptance corp/vrs/southfield,475,400,Mon Jun 01 2015 02:30:00,400,-0.1875,Low,June 2015,2
Unknown,Unknown,Unknown,Unknown,automatic,jtjht00wx33525906,nj,21,186594,beige,beige,mercedes benz of freehold,14100,11900,Wed May 27 2015 02:30:00,11900,-0.18487394957983194,Low,May 2015,2
Mercedes-Benz,SL-Class,SL500,convertible,automatic,wdbsk75f33f058600,ga,32,86425,green,gray,rbm of alpharetta smart center of alpharetta,13000,10500,Wed May 27 2015 03:00:00,10500,-0.23809523809523808,Low,May 2015,2
